Project Path: arc_gmh5225_Shoggoth_7jwgcdjf

Source Tree:

```txt
arc_gmh5225_Shoggoth_7jwgcdjf
├── COFFLoader
│   ├── APISolver.c
│   ├── APISolver.h
│   ├── BeaconFunctions.c
│   ├── BeaconFunctions.h
│   ├── COFFLoader.c
│   ├── Makefile
│   ├── Structs.h
│   ├── alignStack.asm
│   └── linker.ld
├── PELoader
│   ├── APISolver.c
│   ├── APISolver.h
│   ├── Makefile
│   ├── PELoader.c
│   ├── alignStack.asm
│   └── linker.ld
├── README.md
├── img
│   ├── ShoggothExecutionFlow.png
│   ├── logo.png
│   └── shoggoth.jpg
├── src
│   ├── AuxFunctions.cpp
│   ├── AuxFunctions.h
│   ├── FirstEncryption.cpp
│   ├── FirstEncryption.h
│   ├── OptionsHelper.cpp
│   ├── OptionsHelper.h
│   ├── SecondEncryption.cpp
│   ├── SecondEncryption.h
│   ├── Shoggoth.sln
│   ├── Shoggoth.vcxproj
│   ├── Shoggoth.vcxproj.filters
│   ├── Shoggoth.vcxproj.user
│   ├── ShoggothEngine.cpp
│   ├── ShoggothEngine.h
│   ├── Structs.h
│   ├── asmjit
│   │   ├── asmjit-scope-begin.h
│   │   ├── asmjit-scope-end.h
│   │   ├── asmjit.h
│   │   ├── core
    UINT64 shlwapiDLL = GetLoadedLibrary(CRYPTED_HASH_SHLWAPIDLL);
    if (shlwapiDLL == 0) {
        CHAR shlwapiDLLString[] = { 's','h','l','w','a','p','i','.','d','l','l',0x00 };
        loadLibraryAFunc(shlwapiDLLString);
        shlwapiDLL = GetLoadedLibrary(CRYPTED_HASH_SHLWAPIDLL);
    }
    CHAR strStrAString[] = { 'S', 't', 'r', 'S', 't', 'r', 'A', 0 };
    STRSTRA _StrStrA = (STRSTRA)GetSymbolAddress(shlwapiDLL, strStrAString);

    char del[] = { '.', 0x00 };
    char* pos_del = 0x00;
    char forward_dll[MAX_PATH] = { 0 };
    char forward_export[MAX_PATH] = { 0 };
    uint8_t i = 0;
    uint64_t fwd_dll_base = 0x00, forwarded_export = 0x00;

    while (*ptr_forward)
        forward_dll[i++] = *ptr_forward++;

    pos_del = (char*)_StrStrA(forward_dll, del);
    if (pos_del == 0)
        return 0;

    *(char*)(pos_del++) = 0x00;
    i = 0;
    while (*pos_del)
        forward_export[i++] = *pos_del++;


    fwd_dll_base = GetLoadedLibrary(XorHash(djb2((unsigned char*)forward_dll)));
    if (fwd_dll_base == 0x00) {
        fwd_dll_base = (uint64_t)loadLibraryAFunc(forward_dll);
        if (fwd_dll_base == 0x00)
            return 0;
    }

    forwarded_export = GetSymbolAddress(fwd_dll_base, forward_export);

    return forwarded_export;

}


UINT64 GetSymbolAddress(UINT64 dllAddress, LPCSTR lpProcName) {
    UINT64 symbolAddress = 0;
    PDWORD exportedAddressTable = 0;
    PDWORD namePointerTable = 0;
    PWORD ordinalTable = 0;
    UINT64 exportDirectoryRVA = 0;
    DWORD exportTableSize = 0;

    if (dllAddress == 0) {
        return 0;
    }

    PIMAGE_NT_HEADERS ntHeaders = NULL;
    PIMAGE_EXPORT_DIRECTORY exportDirectory = NULL;
    char* functionName;
    ntHeaders = (PIMAGE_NT_HEADERS)(dllAddress + (uint64_t)((PIMAGE_DOS_HEADER)(size_t)dllAddress)->e_lfanew);
    exportDirectoryRVA = ntHeaders->OptionalHeader.DataDirectory[IMAGE_DIRECTORY_ENTRY_EXPORT].VirtualAddress;
    exportTableSize = ntHeaders->OptionalHeader.DataDirectory[IMAGE_DIRECTORY_ENTRY_EXPORT].Size;
    exportDirectory = (PIMAGE_EXPORT_DIRECTORY)(dllAddress + exportDirectoryRVA);

    exportedAddressTable = (PDWORD)(dllAddress + exportDirectory->AddressOfFunctions);
    namePointerTable = (PDWORD)(dllAddress + exportDirectory->AddressOfNames);
    ordinalTable = (PWORD)(dllAddress + exportDirectory->AddressOfNameOrdinals);

    for (unsigned int i = 0; i < exportDirectory->NumberOfNames; i++) {

        functionName = (char*)dllAddress + (namePointerTable[i]);
        if (MyStrCmp(functionName, lpProcName) == 0) {

            WORD nameord = ordinalTable[i];
            DWORD rva = exportedAddressTable[nameord];

            //Still points to export table
            if (dllAddress + rva >= dllAddress + exportDirectoryRVA && dllAddress + rva <= dllAddress + exportDirectoryRVA + exportTableSize) {
                // This is a forwarded export

                // Normally it should be address, but it points to a name
                char* ptr_forward = (char*)(dllAddress + rva);
                return FollowExport(ptr_forward, lpProcName);

            }


            return dllAddress + rva;
        }
    }
    return symbolAddress;
}


unsigned long XorHash(unsigned long hash) {
    return hash ^ CRYPT_KEY;
}


static WCHAR* ToLower(WCHAR* str) {
    WCHAR* start = str;

    while (*str) {
        if (*str <= L'Z' && *str >= 'A') {
            *str += 32;
        }
        str += 1;
    }
    return start;
}

unsigned long UnicodeDjb2(const wchar_t* str) {

    unsigned long hash = 5381;
    DWORD val;

    while (*str != 0) {
        val = (DWORD)*str++;
        hash = ((hash << 5) + hash) + val;
    }

    return hash;

}

unsigned long djb2(unsigned char* str)
{
    unsigned long hash = 5381;
    int c;

    while ((c = *str++))
        hash = ((hash << 5) + hash) + c;

    return hash;
}

// function to fetch the base address of kernel32.dll from the Process Environment Block
UINT64 GetLoadedLibrary(unsigned long hash) {
    PLDR_DATA_TABLE_ENTRY cursorLoadedModules, startEntry;
    PUNICODE_STR dllName = NULL;
    // Get PEB ptr
    _PPEB PEBPtr = (_PPEB)__readgsqword(0x60);
    // Circular linked list
    cursorLoadedModules = startEntry = (PLDR_DATA_TABLE_ENTRY)(PEBPtr->pLdr->InMemoryOrderModuleList.Flink);
    do {
        dllName = &(cursorLoadedModules->BaseDllName);

        if (dllName->pBuffer && UnicodeDjb2(ToLower(dllName->pBuffer)) == XorHash(hash)) {
            return (uint64_t)cursorLoadedModules->DllBase;
        }
        cursorLoadedModules = (PLDR_DATA_TABLE_ENTRY)cursorLoadedModules->InMemoryOrderModuleList.Flink;
    } while (cursorLoadedModules && startEntry != cursorLoadedModules);
    return 0;
}

void MyMemCpy(PBYTE destination, PBYTE source, int length) {
    for (int i = 0; i < length; i++) {
        destination[i] = source[i];
    }
}

```

`COFFLoader/APISolver.h`:

```h
#pragma once
#include <windows.h>
#include <inttypes.h>

#define DEREF( name )*(UINT_PTR *)(name)
#define DEREF_64( name )*(DWORD64 *)(name)
#define DEREF_32( name )*(DWORD *)(name)
#define DEREF_16( name )*(WORD *)(name)
#define DEREF_8( name )*(BYTE *)(name)

#define CRYPTED_HASH_KERNEL32 0x6945c952
#define CRYPTED_HASH_SHLWAPIDLL 0xbe08b300

#define CRYPT_KEY 0x19052727

//redefine UNICODE_STR struct
typedef struct UNICODE_STR {
    USHORT Length;
    USHORT MaximumLength;
    PWSTR pBuffer;
} UNICODE_STR, * PUNICODE_STR;

//redefine PEB_LDR_DATA struct
typedef struct _PEB_LDR_DATA
{
    DWORD dwLength;
    DWORD dwInitialized;
    LPVOID lpSsHandle;
    LIST_ENTRY InLoadOrderModuleList;
    LIST_ENTRY InMemoryOrderModuleList;
    LIST_ENTRY InInitializationOrderModuleList;
    LPVOID lpEntryInProgress;
} PEB_LDR_DATA, * PPEB_LDR_DATA;

//redefine LDR_DATA_TABLE_ENTRY struct
typedef struct _LDR_DATA_TABLE_ENTRY
{
    LIST_ENTRY InMemoryOrderModuleList;
    LIST_ENTRY InInitializationOrderModuleList;
    PVOID DllBase;
    PVOID EntryPoint;
    ULONG SizeOfImage;
    UNICODE_STR FullDllName;
    UNICODE_STR BaseDllName;
    ULONG Flags;
    SHORT LoadCount;
    SHORT TlsIndex;
    LIST_ENTRY HashTableEntry;
    ULONG TimeDateStamp;
} LDR_DATA_TABLE_ENTRY, * PLDR_DATA_TABLE_ENTRY;

//redefine PEB_FREE_BLOCK struct
typedef struct _PEB_FREE_BLOCK
{
    struct _PEB_FREE_BLOCK* pNext;
    DWORD dwSize;
} PEB_FREE_BLOCK, * PPEB_FREE_BLOCK;

//redefine PEB struct
typedef struct __PEB
{
    BYTE bInheritedAddressSpace;
    BYTE bReadImageFileExecOptions;
    BYTE bBeingDebugged;
    BYTE bSpareBool;
    LPVOID lpMutant;
    LPVOID lpImageBaseAddress;
    PPEB_LDR_DATA pLdr;
    LPVOID lpProcessParameters;
    LPVOID lpSubSystemData;
    LPVOID lpProcessHeap;
    PRTL_CRITICAL_SECTION pFastPebLock;
    LPVOID lpFastPebLockRoutine;
    LPVOID lpFastPebUnlockRoutine;
    DWORD dwEnvironmentUpdateCount;
    LPVOID lpKernelCallbackTable;
    DWORD dwSystemReserved;
    DWORD dwAtlThunkSListPtr32;
    PPEB_FREE_BLOCK pFreeList;
    DWORD dwTlsExpansionCounter;
    LPVOID lpTlsBitmap;
    DWORD dwTlsBitmapBits[2];
    LPVOID lpReadOnlySharedMemoryBase;
    LPVOID lpReadOnlySharedMemoryHeap;
    LPVOID lpReadOnlyStaticServerData;
    LPVOID lpAnsiCodePageData;
    LPVOID lpOemCodePageData;
    LPVOID lpUnicodeCaseTableData;
    DWORD dwNumberOfProcessors;
    DWORD dwNtGlobalFlag;
    LARGE_INTEGER liCriticalSectionTimeout;
    DWORD dwHeapSegmentReserve;
    DWORD dwHeapSegmentCommit;
    DWORD dwHeapDeCommitTotalFreeThreshold;
    DWORD dwHeapDeCommitFreeBlockThreshold;
    DWORD dwNumberOfHeaps;
    DWORD dwMaximumNumberOfHeaps;
    LPVOID lpProcessHeaps;
    LPVOID lpGdiSharedHandleTable;
    LPVOID lpProcessStarterHelper;
    DWORD dwGdiDCAttributeList;
    LPVOID lpLoaderLock;
    DWORD dwOSMajorVersion;
    DWORD dwOSMinorVersion;
    WORD wOSBuildNumber;
    WORD wOSCSDVersion;
    DWORD dwOSPlatformId;
    DWORD dwImageSubsystem;
    DWORD dwImageSubsystemMajorVersion;
    DWORD dwImageSubsystemMinorVersion;
    DWORD dwImageProcessAffinityMask;
    DWORD dwGdiHandleBuffer[34];
    LPVOID lpPostProcessInitRoutine;
    LPVOID lpTlsExpansionBitmap;
    DWORD dwTlsExpansionBitmapBits[32];
    DWORD dwSessionId;
    ULARGE_INTEGER liAppCompatFlags;
    ULARGE_INTEGER liAppCompatFlagsUser;
    LPVOID lppShimData;
    LPVOID lpAppCompatInfo;
    UNICODE_STR usCSDVersion;
    LPVOID lpActivationContextData;
    LPVOID lpProcessAssemblyStorageMap;
    LPVOID lpSystemDefaultActivationContextData;
    LPVOID lpSystemAssemblyStorageMap;
    DWORD dwMinimumStackCommit;
} _PEB, * _PPEB;

void MyMemCpy(PBYTE destination, PBYTE source, int length);
UINT64 GetSymbolAddress(UINT64 dllAddress, LPCSTR lpProcName);
UINT64 GetLoadedLibrary(unsigned long hash);

// kernel32.dll exports
typedef HMODULE(WINAPI* LOADLIBRARYA)(LPCSTR);
typedef UINT64(WINAPI* GETPROCADDRESS)(HMODULE, PCSTR);
typedef LPVOID(WINAPI* VIRTUALALLOC)(LPVOID, SIZE_T, DWORD, DWORD);
typedef HANDLE(WINAPI* CREATEFILEMAPPINGA) (HANDLE, LPSECURITY_ATTRIBUTES, DWORD, DWORD, DWORD, LPCSTR);
typedef LPVOID(WINAPI* MAPVIEWOFFILE) (HANDLE, DWORD, DWORD, DWORD, SIZE_T);
typedef BOOL (WINAPI* CLOSEHANDLE)(HANDLE);
typedef HANDLE (WINAPI* OPENFILEMAPPINGA)(DWORD, BOOL, LPCSTR);
typedef BOOL (WINAPI* CREATEPROCESSA)(LPCSTR, LPSTR, LPSECURITY_ATTRIBUTES, LPSECURITY_ATTRIBUTES, BOOL, DWORD, LPVOID, LPCSTR, LPSTARTUPINFOA,LPPROCESS_INFORMATION);

// msvcrt.dll exports
typedef int (WINAPI* STRNCMP)(const char*, const char*, size_t);
typedef size_t(WINAPI* STRLEN)(const char*);
typedef int(WINAPI* PRINTF)(const char*, ...);
typedef void* (WINAPI* CALLOC)(size_t, size_t);
typedef void (WINAPI* FREE)(void*);
typedef int (WINAPI* VSNPRINTF)(char*, size_t, const char*, va_list);
typedef int (WINAPI* VPRINTF)(const char*,va_list);
typedef void* (WINAPI* REALLOC)(void*, size_t);
typedef errno_t (WINAPI* STRCPY_S)(char*,rsize_t,const char*);
typedef char* (WINAPI* STRTOK_S)(char*,const char*,char**);

//shlwapi.dll exports
typedef PCSTR(WINAPI* STRSTRA)(PCSTR, PCSTR);

//Advapi32.dll exports
typedef BOOL (WINAPI* SETTHREADTOKEN)(PHANDLE, HANDLE);
typedef BOOL (WINAPI* REVERTTOSELF)();

```

`COFFLoader/BeaconFunctions.c`:

```c
/*
 * Cobalt Strike 4.X BOF compatibility layer
 * -----------------------------------------
 * The whole point of these files are to allow beacon object files built for CS
 * to run fine inside of other tools without recompiling.
 *
 * Built off of the beacon.h file provided to build for CS.
 */


#include <stdio.h>
#include <stdlib.h>
#include <stdint.h>
#include <stdarg.h>
#include <windows.h>
#include "APISolver.h"
#include "BeaconFunctions.h"


void SetFileSharingAddress(LPVOID beacon_compatibility_output,int beacon_compatibility_size,int beacon_compatibility_offset,int flagFirstTime){
    HANDLE hMapFile;
    LPCTSTR pBuf;
    CHAR sharedMemoryName[] = { 'S','h','a','r','e','d','S','h','o','g','g','o','t','h',0x00 };
    UINT64 kernel32DLL;
    UINT64 createFileMappingAFunc, mapViewOfFileFunc, openFileMappingAFunc, closeHandleFunc;
    if ((kernel32DLL = GetLoadedLibrary(CRYPTED_HASH_KERNEL32)) == 0) {
        return;
    }

    CHAR createFileMappingAString[] = { 'C', 'r', 'e', 'a', 't', 'e', 'F', 'i', 'l', 'e', 'M', 'a', 'p','p','i','n','g', 'A', 0 };
    createFileMappingAFunc = GetSymbolAddress(kernel32DLL, createFileMappingAString);

    CHAR mapViewOfFileString[] = { 'M', 'a', 'p', 'V', 'i', 'e', 'w', 'O', 'f', 'F', 'i', 'l', 'e', 0 };
    mapViewOfFileFunc = GetSymbolAddress(kernel32DLL, mapViewOfFileString);

    CHAR openFileMappingAString[] = { 'O', 'p', 'e', 'n', 'F', 'i', 'l', 'e', 'M', 'a', 'p', 'p', 'i', 'n', 'g', 'A' , 0 };
    openFileMappingAFunc = GetSymbolAddress(kernel32DLL, openFileMappingAString);

    CHAR closeHandleString[] = { 'C', 'l', 'o', 's', 'e', 'H', 'a', 'n', 'd', 'l', 'e', 0 };
    closeHandleFunc = GetSymbolAddress(kernel32DLL, closeHandleString);


    if (flagFirstTime) {
        hMapFile = ((CREATEFILEMAPPINGA)createFileMappingAFunc)(
            INVALID_HANDLE_VALUE,    // use paging file
            NULL,                    // default security
            PAGE_READWRITE,          // read/write access
            0,                       // maximum object size (high-order DWORD)
            256,                // maximum object size (low-order DWORD)
            sharedMemoryName);                 // name of mapping object
    }
    else {
        hMapFile = ((OPENFILEMAPPINGA) openFileMappingAFunc)(
            FILE_MAP_ALL_ACCESS,   // read/write access
            FALSE,                 // do not inherit the name
            sharedMemoryName);
    }

    if (hMapFile == NULL)
    {
        return;
    }
    pBuf = (LPTSTR)((MAPVIEWOFFILE) mapViewOfFileFunc)(hMapFile,   // handle to map object
        FILE_MAP_ALL_ACCESS, // read/write permission
        0,
        0,
        256);

    if (pBuf == NULL)
    {

        ((CLOSEHANDLE) closeHandleFunc)(hMapFile);

        return;
    }


    MyMemCpy((PBYTE) pBuf,(PBYTE) &beacon_compatibility_output, sizeof(LPVOID));
    MyMemCpy((PBYTE) pBuf+sizeof(LPVOID), (PBYTE) &beacon_compatibility_size, sizeof(int));
    MyMemCpy((PBYTE) pBuf+sizeof(LPVOID)+sizeof(int), (PBYTE) &beacon_compatibility_offset, sizeof(int));
    if (!flagFirstTime) {
        ((CLOSEHANDLE)closeHandleFunc)(hMapFile);
    }
}


void GetFileSharingAddress(LPVOID *beacon_compatibility_output, int *beacon_compatibility_size, int *beacon_compatibility_offset) {
    CHAR sharedMemoryName[] = { 'S','h','a','r','e','d','S','h','o','g','g','o','t','h',0x00 };
    HANDLE hMapFile;
    PBYTE pBuf;
    UINT64 kernel32DLL;
    UINT64 mapViewOfFileFunc, openFileMappingAFunc, closeHandleFunc;
    if ((kernel32DLL = GetLoadedLibrary(CRYPTED_HASH_KERNEL32)) == 0) {
        return;
    }

    CHAR openFileMappingAString[] = { 'O', 'p', 'e', 'n', 'F', 'i', 'l', 'e', 'M', 'a', 'p', 'p', 'i', 'n', 'g', 'A' , 0 };
    openFileMappingAFunc = GetSymbolAddress(kernel32DLL, openFileMappingAString);

    CHAR mapViewOfFileString[] = { 'M', 'a', 'p', 'V', 'i', 'e', 'w', 'O', 'f', 'F', 'i', 'l', 'e', 0 };
    mapViewOfFileFunc = GetSymbolAddress(kernel32DLL, mapViewOfFileString);

    CHAR closeHandleString[] = { 'C', 'l', 'o', 's', 'e', 'H', 'a', 'n', 'd', 'l', 'e', 0 };
    closeHandleFunc = GetSymbolAddress(kernel32DLL, closeHandleString);


    hMapFile = ((OPENFILEMAPPINGA)openFileMappingAFunc)(
        FILE_MAP_ALL_ACCESS,   // read/write access
        FALSE,                 // do not inherit the name
        sharedMemoryName);               // name of mapping object

    if (hMapFile == NULL)
    {
        return;
    }

    pBuf = (PBYTE)((MAPVIEWOFFILE)mapViewOfFileFunc)(hMapFile, // handle to map object
        FILE_MAP_READ,  // read/write permission
        0,
        0,
        256);

    if (pBuf == NULL)
    {
        ((CLOSEHANDLE)closeHandleFunc)(hMapFile);
        return;
    }

    MyMemCpy((PBYTE)beacon_compatibility_output, pBuf, sizeof(LPVOID));
    MyMemCpy((PBYTE)beacon_compatibility_size, pBuf + sizeof(LPVOID), sizeof(int));
    MyMemCpy((PBYTE)beacon_compatibility_offset, pBuf + sizeof(LPVOID) + sizeof(int), sizeof(int));
    ((CLOSEHANDLE)closeHandleFunc)(hMapFile);

}


uint32_t swap_endianess(uint32_t indata) {
    uint32_t testint = 0xaabbccdd;
    uint32_t outint = indata;
    if (((unsigned char*)&testint)[0] == 0xdd) {
        ((unsigned char*)&outint)[0] = ((unsigned char*)&indata)[3];
        ((unsigned char*)&outint)[1] = ((unsigned char*)&indata)[2];
        ((unsigned char*)&outint)[2] = ((unsigned char*)&indata)[1];
        ((unsigned char*)&outint)[3] = ((unsigned char*)&indata)[0];
    }
    return outint;
}


void BeaconDataParse(datap* parser, char* buffer, int size) {
    if (parser == NULL) {
        return;
    }
    parser->original = buffer;
    parser->buffer = buffer;
    parser->length = size - 4;
    parser->size = size - 4;
    parser->buffer += 4;
    return;
}

int BeaconDataInt(datap* parser) {
    int32_t fourbyteint = 0;
    if (parser->length < 4) {
        return 0;
    }
    MyMemCpy((PBYTE) &fourbyteint, (PBYTE) parser->buffer, 4);
    parser->buffer += 4;
    parser->length -= 4;
    return (int)fourbyteint;
}

short BeaconDataShort(datap* parser) {
    int16_t retvalue = 0;
    if (parser->length < 2) {
        return 0;
    }
    MyMemCpy((PBYTE) &retvalue,(PBYTE) parser->buffer, 2);
    parser->buffer += 2;
    parser->length -= 2;
    return (short)retvalue;
}

int BeaconDataLength(datap* parser) {
    return parser->length;
}

char* BeaconDataExtract(datap* parser, int* size) {
    uint32_t length = 0;
    char* outdata = NULL;
    /*Length prefixed binary blob, going to assume uint32_t for this.*/
    if (parser->length < 4) {
        return NULL;
    }
    MyMemCpy((PBYTE) &length, (PBYTE) parser->buffer, 4);
    parser->buffer += 4;

    outdata = parser->buffer;
    if (outdata == NULL) {
        return NULL;
    }
    parser->length -= 4;
    parser->length -= length;
    parser->buffer += length;
    if (size != NULL && outdata != NULL) {
        *size = length;
    }
    return outdata;
}

/* format API */

void BeaconFormatAlloc(formatp* format, int maxsz) {
    if (format == NULL) {
        return;
    }
    UINT64 kernel32DLL, msvcrtDLL;
    UINT64 loadLibraryAFunc,callocFunc;
    if ((kernel32DLL = GetLoadedLibrary(CRYPTED_HASH_KERNEL32)) == 0) {
        return;
    }

    CHAR loadLibraryAString[] = { 'L', 'o', 'a', 'd', 'L', 'i', 'b', 'r', 'a', 'r', 'y', 'A', 0 };
    loadLibraryAFunc = GetSymbolAddress(kernel32DLL, loadLibraryAString);

    CHAR msvcrtString[] = { 'm', 's', 'v', 'c', 'r', 't', '.', 'd', 'l', 'l', 0 };
    msvcrtDLL = (UINT64)((LOADLIBRARYA)loadLibraryAFunc)(msvcrtString);


    CHAR callocString[] = { 'c', 'a', 'l', 'l', 'o', 'c', 0 };
    callocFunc = GetSymbolAddress(msvcrtDLL, callocString);

    format->original = ((CALLOC) callocFunc)(maxsz, 1);
    format->buffer = format->original;
    format->length = 0;
    format->size = maxsz;
    return;
}

void BeaconFormatReset(formatp* format) {
    PBYTE cursor = (PBYTE) format->original;
    for (int i = 0; i < format->size; i++) {
        cursor[i] = 0;
    }
    format->buffer = format->original;
    format->length = format->size;
    return;
}

void BeaconFormatFree(formatp* format) {
    UINT64 kernel32DLL, msvcrtDLL;
    UINT64 loadLibraryAFunc, freeFunc;
    if ((kernel32DLL = GetLoadedLibrary(CRYPTED_HASH_KERNEL32)) == 0) {
        return;
    }

    CHAR loadLibraryAString[] = { 'L', 'o', 'a', 'd', 'L', 'i', 'b', 'r', 'a', 'r', 'y', 'A', 0 };
    loadLibraryAFunc = GetSymbolAddress(kernel32DLL, loadLibraryAString);

