Project Path: arc_gmh5225_OverflowRust_za0t0z9t

Source Tree:

```txt
arc_gmh5225_OverflowRust_za0t0z9t
├── OverflowDriver
│   ├── OverflowDriver.inf
│   ├── OverflowDriver.vcxproj
│   ├── OverflowDriver.vcxproj.filters
│   ├── OverflowDriver.vcxproj.user
│   ├── cleaner.h
│   ├── gay.hpp
│   ├── helpers.h
│   ├── hk.c
│   ├── hk.h
│   ├── imports.h
│   └── main.c
├── OverflowR6Rust.sln
├── OverflowRust
│   ├── OverflowRust.vcxproj
│   ├── OverflowRust.vcxproj.filters
│   ├── OverflowRust.vcxproj.user
│   └── core
│       ├── driver
│       │   ├── driver.h
│       │   └── imports.h
│       ├── game
│       │   ├── cheat.cpp
│       │   ├── cheat.h
│       │   ├── esp.h
│       │   ├── game.cpp
│       │   ├── game.h
│       │   └── offsets.h
│       ├── helpers
│       │   ├── color.hpp
│       │   ├── glm
│       │   │   ├── CMakeLists.txt
│       │   │   ├── common.hpp
│       │   │   ├── detail
│       │   │   │   ├── scalar_common.inl
│       │   │   │   ├── scalar_constants.hpp
│       │   │   │   ├── scalar_constants.inl
│       │   │   │   ├── scalar_int_sized.hpp
│       │   │   │   ├── scalar_integer.hpp
│       │   │   │   ├── scalar_integer.inl
│       │   │   │   ├── scalar_relational.hpp
│       │   │   │   ├── scalar_relational.inl
│       │   │   │   ├── scalar_uint_sized.hpp
│       │   │   │   ├── scalar_ulp.hpp
│       │   │   │   ├── scalar_ulp.inl
│       │   │   │   ├── vector_bool1.hpp
│       │   │   │   ├── vector_bool1_precision.hpp
│       │   │   │   ├── vector_bool2.hpp
│       │   │   │   ├── vector_bool2_precision.hpp
│       │   │   │   ├── vector_bool3.hpp
│       │   │   │   ├── vector_bool3_precision.hpp
│       │   │   │   ├── vector_bool4.hpp
│       │   │   │   ├── vector_bool4_precision.hpp
│       │   │   │   ├── vector_common.hpp
│       │   │   │   ├── vector_common.inl
│       │   │   │   ├── vector_double1.hpp
│       │   │   │   ├── vector_double1_precision.hpp
│       │   │   │   ├── vector_double2.hpp
│       │   │   │   ├── vector_double2_precision.hpp
│       │   │   │   ├── vector_double3.hpp
│       │   │   │   ├── vector_double3_precision.hpp
│       │   │   │   ├── vector_double4.hpp
│       │   │   │   ├── vector_double4_precision.hpp
│       │   │   │   ├── vector_float1.hpp
│       │   │   │   ├── vector_float1_precision.hpp
│       │   │   │   ├── vector_float2.hpp
│       │   │   │   ├── vector_float2_precision.hpp
│       │   │   │   ├── vector_float3.hpp
│       │   │   │   ├── vector_float3_precision.hpp
│       │   │   │   ├── vector_float4.hpp
│       │   │   │   ├── vector_float4_precision.hpp
│       │   │   │   ├── vector_int1.hpp
│       │   │   │   ├── vector_int1_precision.hpp
│       │   │   │   ├── vector_int2.hpp
│       │   │   │   ├── vector_int2_precision.hpp
│       │   │   │   ├── vector_int3.hpp
│       │   │   │   ├── vector_int3_precision.hpp
│       │   │   │   ├── vector_int4.hpp
│       │   │   │   ├── vector_int4_precision.hpp
│       │   │   │   ├── vector_integer.hpp
│       │   │   │   ├── vector_integer.inl
│       │   │   │   ├── vector_relational.hpp
│       │   │   │   ├── vector_relational.inl
│       │   │   │   ├── vector_uint1.hpp
│       │   │   │   ├── vector_uint1_precision.hpp
│       │   │   │   ├── vector_uint2.hpp
│       │   │   │   ├── vector_uint2_precision.hpp
│       │   │   │   ├── vector_uint3.hpp
│       │   │   │   ├── vector_uint3_precision.hpp
│       │   │   │   ├── vector_uint4.hpp
│       │   │   │   ├── vector_uint4_precision.hpp
│       │   │   │   ├── vector_ulp.hpp
│       │   │   │   └── vector_ulp.inl
│       │   │   ├── ext.hpp
│       │   │   ├── fwd.hpp
│       │   │   ├── geometric.hpp
│       │   │   ├── glm.hpp
│       │   │   ├── gtc
│       │   │   │   ├── bitfield.hpp
│       │   │   │   ├── bitfield.inl
│       │   │   │   ├── color_space.hpp
│       │   │   │   ├── color_space.inl
│       │   │   │   ├── constants.hpp
│       │   │   │   ├── constants.inl
│       │   │   │   ├── epsilon.hpp
│       │   │   │   ├── epsilon.inl
│       │   │   │   ├── integer.hpp
│       │   │   │   ├── integer.inl
│       │   │   │   ├── matrix_access.hpp
│       │   │   │   ├── matrix_access.inl
│       │   │   │   ├── matrix_integer.hpp
│       │   │   │   ├── matrix_inverse.hpp
│       │   │   │   ├── matrix_inverse.inl
│       │   │   │   ├── matrix_transform.hpp
│       │   │   │   ├── matrix_transform.inl
│       │   │   │   ├── noise.hpp
│       │   │   │   ├── noise.inl
│       │   │   │   ├── packing.hpp
│       │   │   │   ├── packing.inl
│       │   │   │   ├── quaternion.hpp
│       │   │   │   ├── quaternion.inl
│       │   │   │   ├── quaternion_simd.inl
│       │   │   │   ├── random.hpp
│       │   │   │   ├── random.inl
│       │   │   │   ├── reciprocal.hpp
│       │   │   │   ├── reciprocal.inl
│       │   │   │   ├── round.hpp
│       │   │   │   ├── round.inl
│       │   │   │   ├── type_aligned.hpp
│       │   │   │   ├── type_precision.hpp
│       │   │   │   ├── type_precision.inl
│       │   │   │   ├── type_ptr.hpp
│       │   │   │   ├── type_ptr.inl
│       │   │   │   ├── ulp.hpp
│       │   │   │   ├── ulp.inl
│       │   │   │   └── vec1.hpp
│       │   │   ├── gtx
│       │   │   │   ├── associated_min_max.hpp
│       │   │   │   ├── associated_min_max.inl
│       │   │   │   ├── bit.hpp
│       │   │   │   ├── bit.inl
│       │   │   │   ├── closest_point.hpp
│       │   │   │   ├── closest_point.inl
│       │   │   │   ├── color_encoding.hpp
│       │   │   │   ├── color_encoding.inl
│       │   │   │   ├── color_space.hpp
│       │   │   │   ├── color_space.inl
│       │   │   │   ├── color_space_YCoCg.hpp
│       │   │   │   ├── color_space_YCoCg.inl
│       │   │   │   ├── common.hpp
│       │   │   │   ├── common.inl
│       │   │   │   ├── compatibility.hpp
│       │   │   │   ├── compatibility.inl
│       │   │   │   ├── component_wise.hpp
│       │   │   │   ├── component_wise.inl
│       │   │   │   ├── dual_quaternion.hpp
│       │   │   │   ├── dual_quaternion.inl
│       │   │   │   ├── easing.hpp
│       │   │   │   ├── easing.inl
│       │   │   │   ├── euler_angles.hpp
│       │   │   │   ├── euler_angles.inl
│       │   │   │   ├── extend.hpp
│       │   │   │   ├── extend.inl
│       │   │   │   ├── extended_min_max.hpp
│       │   │   │   ├── extended_min_max.inl
│       │   │   │   ├── exterior_product.hpp
│       │   │   │   ├── exterior_product.inl
│       │   │   │   ├── fast_exponential.hpp
│       │   │   │   ├── fast_exponential.inl
│       │   │   │   ├── fast_square_root.hpp
│       │   │   │   ├── fast_square_root.inl
│       │   │   │   ├── fast_trigonometry.hpp
│       │   │   │   ├── fast_trigonometry.inl
│       │   │   │   ├── float_notmalize.inl
│       │   │   │   ├── functions.hpp
│       │   │   │   ├── functions.inl
│       │   │   │   ├── gradient_paint.hpp
│       │   │   │   ├── gradient_paint.inl
│       │   │   │   ├── handed_coordinate_space.hpp
│       │   │   │   ├── handed_coordinate_space.inl
│       │   │   │   ├── hash.hpp
│       │   │   │   ├── hash.inl
│       │   │   │   ├── integer.hpp
│       │   │   │   ├── integer.inl
│       │   │   │   ├── intersect.hpp
│       │   │   │   ├── intersect.inl
│       │   │   │   ├── io.hpp
│       │   │   │   ├── io.inl
│       │   │   │   ├── log_base.hpp
│       │   │   │   ├── log_base.inl
│       │   │   │   ├── matrix_cross_product.hpp
│       │   │   │   ├── matrix_cross_product.inl
│       │   │   │   ├── matrix_decompose.hpp
│       │   │   │   ├── matrix_decompose.inl
│       │   │   │   ├── matrix_factorisation.hpp
│       │   │   │   ├── matrix_factorisation.inl
│       │   │   │   ├── matrix_interpolation.hpp
│       │   │   │   ├── matrix_interpolation.inl
│       │   │   │   ├── matrix_major_storage.hpp
│       │   │   │   ├── matrix_major_storage.inl
│       │   │   │   ├── matrix_operation.hpp
│       │   │   │   ├── matrix_operation.inl
│       │   │   │   ├── matrix_query.hpp
│       │   │   │   ├── matrix_query.inl
│       │   │   │   ├── matrix_transform_2d.hpp
│       │   │   │   ├── matrix_transform_2d.inl
│       │   │   │   ├── mixed_product.hpp
│       │   │   │   ├── mixed_product.inl
│       │   │   │   ├── norm.hpp
│       │   │   │   ├── norm.inl
│       │   │   │   ├── normal.hpp
│       │   │   │   ├── normal.inl
│       │   │   │   ├── normalize_dot.hpp
│       │   │   │   ├── normalize_dot.inl
│       │   │   │   ├── number_precision.hpp
│       │   │   │   ├── number_precision.inl
│       │   │   │   ├── optimum_pow.hpp
│       │   │   │   ├── optimum_pow.inl
│       │   │   │   ├── orthonormalize.hpp
│       │   │   │   ├── orthonormalize.inl
│       │   │   │   ├── perpendicular.hpp
│       │   │   │   ├── perpendicular.inl
│       │   │   │   ├── polar_coordinates.hpp
│       │   │   │   ├── polar_coordinates.inl
│       │   │   │   ├── projection.hpp
│       │   │   │   ├── projection.inl
│       │   │   │   ├── quaternion.hpp
│       │   │   │   ├── quaternion.inl
│       │   │   │   ├── range.hpp
│       │   │   │   ├── raw_data.hpp
│       │   │   │   ├── raw_data.inl
│       │   │   │   ├── rotate_normalized_axis.hpp
│       │   │   │   ├── rotate_normalized_axis.inl
│       │   │   │   ├── rotate_vector.hpp
│       │   │   │   ├── rotate_vector.inl
│       │   │   │   ├── scalar_multiplication.hpp
│       │   │   │   ├── scalar_relational.hpp
│       │   │   │   ├── scalar_relational.inl
│       │   │   │   ├── spline.hpp
│       │   │   │   ├── spline.inl
│       │   │   │   ├── std_based_type.hpp
│       │   │   │   ├── std_based_type.inl
│       │   │   │   ├── string_cast.hpp
│       │   │   │   ├── string_cast.inl
│       │   │   │   ├── texture.hpp
│       │   │   │   ├── texture.inl
│       │   │   │   ├── transform.hpp
│       │   │   │   ├── transform.inl
│       │   │   │   ├── transform2.hpp
│       │   │   │   ├── transform2.inl
│       │   │   │   ├── type_aligned.hpp
│       │   │   │   ├── type_aligned.inl
│       │   │   │   ├── type_trait.hpp
│       │   │   │   ├── type_trait.inl
│       │   │   │   ├── vec_swizzle.hpp
│       │   │   │   ├── vector_angle.hpp
│       │   │   │   ├── vector_angle.inl
│       │   │   │   ├── vector_query.hpp
│       │   │   │   ├── vector_query.inl
│       │   │   │   ├── wrap.hpp
│       │   │   │   └── wrap.inl
│       │   │   ├── integer.hpp
│       │   │   ├── mat2x2.hpp
│       │   │   ├── mat2x3.hpp
│       │   │   ├── mat2x4.hpp
│       │   │   ├── mat3x2.hpp
│       │   │   ├── mat3x3.hpp
│       │   │   ├── mat3x4.hpp
│       │   │   ├── mat4x2.hpp
│       │   │   ├── mat4x3.hpp
│       │   │   ├── mat4x4.hpp
│       │   │   ├── matrix.hpp
│       │   │   ├── packing.hpp
│       │   │   ├── simd
│       │   │   │   ├── common.h
│       │   │   │   ├── exponential.h
│       │   │   │   ├── geometric.h
│       │   │   │   ├── integer.h
│       │   │   │   ├── matrix.h
│       │   │   │   ├── packing.h
│       │   │   │   ├── platform.h
│       │   │   │   ├── trigonometric.h
│       │   │   │   └── vector_relational.h
│       │   │   ├── trigonometric.hpp
│       │   │   ├── vec2.hpp
│       │   │   ├── vec3.hpp
│       │   │   ├── vec4.hpp
│       │   │   └── vector_relational.hpp
│       │   ├── settings.cpp
│       │   ├── settings.h
│       │   └── vectors.h
│       ├── main.cpp
│       ├── menu
│       │   ├── gui.cpp
│       │   ├── imgui
│       │   │   ├── imgui.cpp
│       │   │   ├── imgui.h
│       │   │   ├── imgui_draw.cpp
│       │   │   ├── imgui_impl_dx11.cpp
│       │   │   ├── imgui_impl_dx11.h
│       │   │   ├── imgui_impl_win32.cpp
│       │   │   ├── imgui_impl_win32.h
│       │   │   ├── imgui_internal.h
│       │   │   ├── imgui_widgets.cpp
│       │   │   ├── imstb_rectpack.h
│       │   │   ├── imstb_textedit.h
│       │   │   └── imstb_truetype.h
│       │   ├── menu.cpp
│       │   ├── menu.h
│       │   └── tabs
│       │       ├── legit_tab.cpp
│       │       ├── misc_tab.cpp
│       │       ├── rage_tab.cpp
│       │       ├── settings_tab.cpp
│       │       ├── skins_tab.cpp
│       │       └── visuals_tab.cpp
│       └── renderer
│           └── renderer.h
└── README.md

```

`OverflowDriver/OverflowDriver.inf`:

```inf
;
; OverflowDriver.inf
;

[Version]
Signature="$WINDOWS NT$"
Class=Sample ; TODO: edit Class
ClassGuid={78A1C341-4539-11d3-B88D-00C04FAD5171} ; TODO: edit ClassGuid
Provider=%ManufacturerName%
CatalogFile=OverflowDriver.cat
DriverVer= ; TODO: set DriverVer in stampinf property pages
PnpLockDown=1

[DestinationDirs]
DefaultDestDir = 12
OverflowDriver_Device_CoInstaller_CopyFiles = 11

; ================= Class section =====================

[ClassInstall32]
Addreg=SampleClassReg

[SampleClassReg]
HKR,,,0,%ClassName%
HKR,,Icon,,-5

[SourceDisksNames]
1 = %DiskName%,,,""

[SourceDisksFiles]
OverflowDriver.sys  = 1,,
WdfCoInstaller$KMDFCOINSTALLERVERSION$.dll=1 ; make sure the number matches with SourceDisksNames

;*****************************************
; Install Section
;*****************************************

[Manufacturer]
%ManufacturerName%=Standard,NT$ARCH$

[Standard.NT$ARCH$]
%OverflowDriver.DeviceDesc%=OverflowDriver_Device, Root\OverflowDriver ; TODO: edit hw-id

[OverflowDriver_Device.NT]
CopyFiles=Drivers_Dir

[Drivers_Dir]
OverflowDriver.sys

;-------------- Service installation
[OverflowDriver_Device.NT.Services]
AddService = OverflowDriver,%SPSVCINST_ASSOCSERVICE%, OverflowDriver_Service_Inst

; -------------- OverflowDriver driver install sections
[OverflowDriver_Service_Inst]
DisplayName    = %OverflowDriver.SVCDESC%
ServiceType    = 1               ; SERVICE_KERNEL_DRIVER
StartType      = 3               ; SERVICE_DEMAND_START
ErrorControl   = 1               ; SERVICE_ERROR_NORMAL
ServiceBinary  = %12%\OverflowDriver.sys

;
;--- OverflowDriver_Device Coinstaller installation ------
;

[OverflowDriver_Device.NT.CoInstallers]
AddReg=OverflowDriver_Device_CoInstaller_AddReg
CopyFiles=OverflowDriver_Device_CoInstaller_CopyFiles

[OverflowDriver_Device_CoInstaller_AddReg]
HKR,,CoInstallers32,0x00010000, "WdfCoInstaller$KMDFCOINSTALLERVERSION$.dll,WdfCoInstaller"

[OverflowDriver_Device_CoInstaller_CopyFiles]
WdfCoInstaller$KMDFCOINSTALLERVERSION$.dll

[OverflowDriver_Device.NT.Wdf]
KmdfService =  OverflowDriver, OverflowDriver_wdfsect
[OverflowDriver_wdfsect]
KmdfLibraryVersion = $KMDFVERSION$

[Strings]
SPSVCINST_ASSOCSERVICE= 0x00000002
ManufacturerName="<Your manufacturer name>" ;TODO: Replace with your manufacturer name
ClassName="Samples" ; TODO: edit ClassName
DiskName = "OverflowDriver Installation Disk"
OverflowDriver.DeviceDesc = "OverflowDriver Device"
OverflowDriver.SVCDESC = "OverflowDriver Service"

```

`OverflowDriver/OverflowDriver.vcxproj`:

```vcxproj
<?xml version="1.0" encoding="utf-8"?>
<Project DefaultTargets="Build" ToolsVersion="12.0" xmlns="http://schemas.microsoft.com/developer/msbuild/2003">
  <ItemGroup Label="ProjectConfigurations">
    <ProjectConfiguration Include="Debug|Win32">
      <Configuration>Debug</Configuration>
      <Platform>Win32</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Release|Win32">
      <Configuration>Release</Configuration>
      <Platform>Win32</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Debug|x64">
      <Configuration>Debug</Configuration>
      <Platform>x64</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Release|x64">
      <Configuration>Release</Configuration>
      <Platform>x64</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Debug|ARM">
      <Configuration>Debug</Configuration>
      <Platform>ARM</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Release|ARM">
      <Configuration>Release</Configuration>
      <Platform>ARM</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Debug|ARM64">
      <Configuration>Debug</Configuration>
      <Platform>ARM64</Platform>
    </ProjectConfiguration>
    <ProjectConfiguration Include="Release|ARM64">
      <Configuration>Release</Configuration>
      <Platform>ARM64</Platform>
    </ProjectConfiguration>
  </ItemGroup>
  <PropertyGroup Label="Globals">
    <ProjectGuid>{9384229F-9D7B-45BB-B8A1-0DD9924D42E5}</ProjectGuid>
    <TemplateGuid>{1bc93793-694f-48fe-9372-81e2b05556fd}</TemplateGuid>
    <TargetFrameworkVersion>v4.5</TargetFrameworkVersion>
    <MinimumVisualStudioVersion>12.0</MinimumVisualStudioVersion>
    <Configuration>Debug</Configuration>
    <Platform Condition="'$(Platform)' == ''">Win32</Platform>
    <RootNamespace>OverflowDriver</RootNamespace>
  </PropertyGroup>
  <Import Project="$(VCTargetsPath)\Microsoft.Cpp.Default.props" />
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Debug|Win32'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>true</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Release|Win32'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>false</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Debug|x64'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>true</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
    <CharacterSet>MultiByte</CharacterSet>
    <Driver_SpectreMitigation>Spectre</Driver_SpectreMitigation>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Release|x64'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>false</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
    <CharacterSet>MultiByte</CharacterSet>
    <Driver_SpectreMitigation>Spectre</Driver_SpectreMitigation>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Debug|ARM'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>true</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Release|ARM'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>false</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Debug|ARM64'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>true</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Release|ARM64'" Label="Configuration">
    <TargetVersion>Windows10</TargetVersion>
    <UseDebugLibraries>false</UseDebugLibraries>
    <PlatformToolset>WindowsKernelModeDriver10.0</PlatformToolset>
    <ConfigurationType>Driver</ConfigurationType>
    <DriverType>KMDF</DriverType>
    <DriverTargetPlatform>Universal</DriverTargetPlatform>
  </PropertyGroup>
  <Import Project="$(VCTargetsPath)\Microsoft.Cpp.props" />
  <ImportGroup Label="ExtensionSettings">
  </ImportGroup>
  <ImportGroup Label="PropertySheets">
    <Import Project="$(UserRootDir)\Microsoft.Cpp.$(Platform).user.props" Condition="exists('$(UserRootDir)\Microsoft.Cpp.$(Platform).user.props')" Label="LocalAppDataPlatform" />
  </ImportGroup>
  <PropertyGroup Label="UserMacros" />
  <PropertyGroup />
  <PropertyGroup Condition="'$(Configuration)|$(Platform)'=='Debug|Win32'">
    <DebuggerFlavor>DbgengKernelDebugger</DebuggerFlavor>
  </PropertyGroup>
